judul,konteks,komen,apakah_komen_utama,dari_komen_utama,emoticon,label
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Semua dilakukan demi Fufufafa 2029,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",daya rusak rezim mulyono berlanjut ke season 3,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Maaf nih Pak..anda kan mantan presiden 2 periode..apa tidak berminat datang k kampus2 atau forum dlm negeri maupun luar negri utk mmberi kuliah umum ? Sayang bgt kl hanya jd jurkam,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Rakus jabatan,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Rusak jawane. ...,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Kan selalu kebalikannya.,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Minimal hidup punya Moral 🔥,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Rompi orange x yaaa yg bikin doski sekeluarga takut 😂 gelombang energi bumi itu menangkap sinyal tabur tuai 😊,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Cape banget liat kelakuan mulyono,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","gak tenang sekali hidup nya...kasian,jiwa raga di hantui ketakutan klw2 Indonesia gak di kuasai sm komplotannya",TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","Makin didukung mulyono, makin tak mau milih calon nya, tolak keberlangsungan dinasty mulyono",TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Saya akan kembali ke solo jadi calo -sekjen PBB-,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Saya akan menjadi warga biasa tapi sekarang jadi calo pilkada wlwkw,TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","👏👏👏 Gerombolan 58% ber SDM keren, hasilnya gini ini, oke ga oke gas 👏👏👏",TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","Yang saya Heran, sudah diantar pale pesawat JET, dikawal buat pulang KAMPUNG ke solo, eh skrg balik lagi ke JKT buat nyeles calon gubernur ...hmmmmm",TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Hidup dia tersiksa dan gak tenang dengan sendirinya... ???🤔,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Katanya mau tidur 😂😂😂,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Tumbangkan & jangan pilih semua paslon di pilkada yg didukung KKN mulyono sontoloyo.. 👎🤮,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",2 kata lucu: SAYA TITIP 😂😂,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",semoga rakyat semakin pintar 🔥,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","Saya melihat Pak Andika Perkasa,Anis Baswedan,Ahok,Pramono Anung klihatan bnget kenegarawan nya...itu sih pendapat aku",TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","musim hujan, mohon jaga gorong² di daerah masing²",TRUE,Tidak ada,FALSE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.",Yang katanya apa apa di setir Megawati?😂 Liat aja kelakuannya bagaimana mul mul,TRUE,Tidak ada,TRUE,
Pak Jokowi cawe cawe lagi setelah sebulan pensiun,"jokowi kembali. Ia batalkan puasa politik sebulan setelah pensiun menjadi presiden begitu melihat calon-calon gubernur dalam pemilihan kepala daerah serentak yang ia dukung melorot elektabilitasnya.  Ia berkampanye di Jawa Tengah, ia mengumpulkan relawan di Jakarta. Jika cukup waktu ia mungkin juga terbang ke Sumatera Utara karena di sana menantunya menjadi kandidat gubernur. Juga ke kabupaten dan kota, tempat para ajudannya berkompetisi menjadi kepala daerah.  Jokowi juga meminta Presiden Prabowo Subianto cawe-cawe dalam pilkada. Jokowi kini punya teman presiden yang melanggar asas netralitas dan etika demokrasi. Apalagi, Badan Pengawas Pemilu jiper dengan menyebut video Prabowo mendukung calon gubernur Jawa Tengah tak melanggar aturan apa pun.","Harus bisa bedakan BEKAS PRESIDEN,SAMA PRESIDEN BEKAS. - ROCKY GERUNG 🔥",TRUE,Tidak ada,TRUE,
